Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	665	6245
ARUP	17	183
Bedford Research Foundation	3	62
Beth Israel Deaconess Medical Center	261	1842
BioReference Laboratories	3	9
Boston Medical Center	42	184
BROAD Institute CRSP	19	165
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	8	88
Genesys Diagnostics	6	6
LabCorp	197	2522
Mayo Clinic Labs	59	375
Partners Healthcare	197	1734
Quest Laboratories	1530	14210
Tufts Medical Center	157	832
UMASS Memorial Medical Center	2	2
Viracor	57	831
Other	16	70
Total Patients Tested*	3240	29371
