CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	405
Berkshire	278
Bristol	768
Dukes	9
Essex	1841
Franklin	118
Hampden	997
Hampshire	158
Middlesex	3187
Nantucket	9
Norfolk	1592
Plymouth	1194
Suffolk	3245
Worcester	1172
Unknown	229
Sex	
Female	7995
Male	7161
Unknown	46
Age Group	
≤19 years of age	338
20-29 years of age	2013
30-39 years of age	2389
40-49 years of age	2408
50-59 years of age	2886
60-69 years of age	2148
70-79 years of age	1381
≥ 80 years of age	1639
Deaths	
Attributed to COVID-19	356
COVID-19 Cases in Long-Term Care Facilities	
Residents/Healthcare workers of Long-Term Care Facilities	958
Long-Term Care Facilities Reporting At Least One Case of COVID-19	129
Hospitalization	
Patient was hospitalized	1435
Patient was not hospitalized	4316
Under Investigation	9451
