Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1291	8424
ARUP Laboratories	17	185
Baystate Medical Center	31	295
Bedford Research Foundation	79	460
Beth Israel Deaconess Medical Center	1271	6410
BioReference Laboratories	16	51
Boston Medical Center	600	1310
BROAD Institute CRSP	1431	5991
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	17	301
East Side Clinical Laboratory	21	134
Genesys Diagnostics	220	512
LabCorp	1536	7248
Mayo Clinic Labs	441	2315
Orig3n	16	40
Partners Healthcare	1386	6290
Quest Laboratories	6943	40632
Signature Healthcare	13	33
South Shore Hospital	21	122
Steward Health Care	206	485
Tufts Medical Center	849	3636
UMASS Memorial Medical Center	176	990
VA Boston Healthcare System	15	16
Viracor	77	1236
Other	116	385
Total Patients Tested	16790	87511
