Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1444	8768
ARUP Laboratories	17	185
Baystate Medical Center	160	637
Bedford Research Foundation	103	571
Beth Israel Deaconess Medical Center	1553	7290
BioReference Laboratories	16	51
Boston Medical Center	862	2045
BROAD Institute CRSP	2274	8188
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	22	381
CVS	122	941
East Side Clinical Laboratory	22	151
Genesys Diagnostics	341	856
Harrington Memorial Hospital	10	41
LabCorp	1762	7734
Mayo Clinic Labs	445	2345
Orig3n	16	40
Partners Healthcare	1608	7195
Quest Laboratories	8241	46318
South Shore Hospital	34	167
Steward Health Care	283	697
Tufts Medical Center	1100	4490
UMASS Memorial Medical Center	346	1780
VA Boston Healthcare System	24	25
Viracor	66	1266
Other	102	200
Total Patients Tested	20974	102372
