Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	912	7355
ARUP Laboratories	17	187
Baystate Medical Center	5	12
Bedford Research Foundation	30	219
Beth Israel Deaconess Medical Center	686	3976
BioReference Laboratories	9	43
Boston Medical Center	236	647
BROAD Institute CRSP	348	1784
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	11	195
Genesys Diagnostics	106	145
LabCorp	715	4836
Mayo Clinic Labs	353	1812
Partners Healthcare	740	4112
Quest Laboratories	4161	27606
South Shore Hospital	7	34
Tufts Medical Center	463	2154
UMASS Memorial Medical Center	32	163
Viracor	80	1150
Other	54	167
Total Patients Tested*	8966	56608
