Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	768	6868
ARUP	17	185
Baystate Medical Center	84	232
Bedford Research Foundation	6	110
Beth Israel Deaconess Medical Center	410	2703
BioReference Laboratories	6	41
Boston Medical Center	125	416
BROAD Institute CRSP	73	573
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	10	124
Genesys Diagnostics	20	20
LabCorp	391	3693
Mayo Clinic Labs	211	1089
Partners Healthcare	414	2738
Quest Laboratories	2813	21321
Tufts Medical Center	303	1491
UMASS Memorial Medical Center	4	4
Viracor	74	1128
Other	22	46
Total Patients Tested*	5752	42793
