Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1931	10107
AFC Urgent Care	133	448
ARUP Laboratories	19	194
Baystate Medical Center	523	2174
Bedford Research Foundation	54	263
Berkshire Medical Center	8	66
Beth Israel Deaconess Medical Center	2672	10982
BioReference Laboratories	24	140
Boston Medical Center	1425	3181
BROAD Institute CRSP	5886	20391
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	51	646
CVS	1331	7811
Cambridge Health Alliance	40	40
East Side Clinical Laboratory	51	309
Emerson Hospital	12	139
Excelsior	6	11
Genesys Diagnostics	778	2006
Harrington Memorial Hospital	21	51
LabCorp	2903	10257
Lemuel Shattuck Hospital	20	57
Mayo Clinic Labs	459	2404
Orig3n	16	40
Other Public Health Laboratories	13	22
Partners Healthcare	3078	11042
Quest Laboratories	12422	63328
South Shore Hospital	75	342
Steward Health Care	439	1199
Tufts Medical Center	1992	7012
UMASS Memorial Medical Center	990	4432
VA Healthcare Sites	134	533
Vikor Scientific	282	610
Viracor	85	1370
Point of Care Testing	115	460
Other	88	164
Total Patients Tested	38077	162241
